breed,breed_info_link,breed_img_link
Afador,https://dogtime.com/dog-breeds/afador,https://www.dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-cover-650x368.jpg
Affenhuahua,https://dogtime.com/dog-breeds/affenhuahua,https://www.dogtime.com/assets/uploads/2020/02/affenhuahua-mixed-dog-breed-pictures-COVER-650x368.jpg
Affenpinscher,https://dogtime.com/dog-breeds/affenpinscher,https://www.dogtime.com/assets/uploads/2011/01/file_23096_affenpinscher-300x189.jpg
Afghan Hound,https://dogtime.com/dog-breeds/afghan-hound,https://www.dogtime.com/assets/uploads/2011/01/file_23004_afghan-hound-300x189.jpg
Airedale Terrier,https://dogtime.com/dog-breeds/airedale-terrier,https://www.dogtime.com/assets/uploads/2011/01/file_23050_airedale-terrier-300x189.jpg
Akbash,https://dogtime.com/dog-breeds/akbash,https://www.dogtime.com/assets/uploads/2019/12/akbash-dog-breed-pictures-cover-650x368.jpg
Akita,https://dogtime.com/dog-breeds/akita,https://www.dogtime.com/assets/uploads/2011/01/file_22906_akita-300x189.jpg
Akita Chow,https://dogtime.com/dog-breeds/akita-chow,https://www.dogtime.com/assets/uploads/2020/04/akita-chow-mixed-dog-breed-pictures-cover-650x368.jpg
Akita Pit,https://dogtime.com/dog-breeds/akita-pit,https://www.dogtime.com/assets/uploads/2020/02/akita-pit-mixed-dog-breed-pictures-COVER-650x368.jpg
Akita Shepherd,https://dogtime.com/dog-breeds/akita-shepherd,https://www.dogtime.com/assets/uploads/2020/03/akita-shepherd-mixed-dog-breed-pictures-cover-650x368.jpg
Alaskan Klee Kai,https://dogtime.com/dog-breeds/alaskan-klee-kai,https://www.dogtime.com/assets/uploads/2017/11/alaskan-klee-kai-breed-pictures-cover-650x368.jpg
Alaskan Malamute,https://dogtime.com/dog-breeds/alaskan-malamute,https://www.dogtime.com/assets/uploads/2011/01/file_22908_alaskan-malamute-300x189.jpg
American Bulldog,https://dogtime.com/dog-breeds/american-bulldog,https://www.dogtime.com/assets/uploads/2017/12/american-bulldog-breed-pictures-9-650x368.jpg
American English Coonhound,https://dogtime.com/dog-breeds/american-english-coonhound,https://www.dogtime.com/assets/uploads/2011/01/file_23236_american-english-coonhound-300x189.jpg
American Eskimo Dog,https://dogtime.com/dog-breeds/american-eskimo-dog,https://www.dogtime.com/assets/uploads/2011/01/file_23134_american-eskimo-dog-300x189.jpg
American Foxhound,https://dogtime.com/dog-breeds/american-foxhound,https://www.dogtime.com/assets/uploads/2011/01/file_23006_american-foxhound-300x189.jpg
American Hairless Terrier,https://dogtime.com/dog-breeds/american-hairless-terrier,https://www.dogtime.com/assets/uploads/2020/04/american-hairless-terrier-dog-breed-pictures-cover-650x368.jpg
American Leopard Hound,https://dogtime.com/dog-breeds/american-leopard-hound,https://www.dogtime.com/assets/uploads/2019/09/american-leopard-hound-dog-breed-picture-cover-650x368.jpg
American Pit Bull Terrier,https://dogtime.com/dog-breeds/american-pit-bull-terrier,https://www.dogtime.com/assets/uploads/2011/01/file_23052_pitbull-dog-breed-pittie-300x189.jpg
American Pugabull,https://dogtime.com/dog-breeds/american-pugabull,https://www.dogtime.com/assets/uploads/2019/08/american-pugabull-mixed-dog-breed-pictures-cover-650x368.jpg
American Staffordshire Terrier,https://dogtime.com/dog-breeds/american-staffordshire-terrier,https://www.dogtime.com/assets/uploads/2018/01/american-staffordshire-terrier-dog-breed-pictures-cover-650x368.jpg
American Water Spaniel,https://dogtime.com/dog-breeds/american-water-spaniel,https://www.dogtime.com/assets/uploads/2011/01/file_22954_american-water-spaniel-300x189.jpg
Anatolian Shepherd Dog,https://dogtime.com/dog-breeds/anatolian-shepherd-dog,https://www.dogtime.com/assets/uploads/2011/01/file_22910_anatolian-shepherd-dog-300x189.jpg
Appenzeller Sennenhunde,https://dogtime.com/dog-breeds/appenzeller-sennenhunde,https://www.dogtime.com/assets/uploads/2011/01/file_23244_what-is-the-appenzeller-sennenhunde-dog-300x189.jpg
Auggie,https://dogtime.com/dog-breeds/auggie,https://www.dogtime.com/assets/uploads/2019/09/auggie-mixed-dog-breed-pictures-cover-650x368.jpg
Aussiedoodle,https://dogtime.com/dog-breeds/aussiedoodle,https://www.dogtime.com/assets/uploads/2019/07/aussiedoodle-mixed-dog-breed-pictures-cover-650x368.jpg
Aussiepom,https://dogtime.com/dog-breeds/aussiepom,https://www.dogtime.com/assets/uploads/2019/07/aussiepom-mixed-dog-breed-pictures-cover-650x368.jpg
Australian Cattle Dog,https://dogtime.com/dog-breeds/australian-cattle-dog,https://www.dogtime.com/assets/uploads/2011/01/file_23166_australian-cattle-dog-300x189.jpg
Australian Kelpie,https://dogtime.com/dog-breeds/australian-kelpie,https://www.dogtime.com/assets/uploads/2018/04/australian-kelpie-dog-breed-pictures-header-650x368.jpg
Australian Retriever,https://dogtime.com/dog-breeds/australian-retriever,https://www.dogtime.com/assets/uploads/2019/10/australian-retriever-mixed-dog-breed-pictures-cover-650x368.jpg
Australian Shepherd,https://dogtime.com/dog-breeds/australian-shepherd,https://www.dogtime.com/assets/uploads/2011/01/file_23168_australian-shepherd-300x189.jpg
Australian Shepherd Husky,https://dogtime.com/dog-breeds/australian-shepherd-husky,https://www.dogtime.com/assets/uploads/2019/12/australian-shepherd-husky-mixed-dog-breed-pictures-cover-650x368.jpg
Australian Shepherd Lab Mix,https://dogtime.com/dog-breeds/australian-shepherd-lab-mix,https://www.dogtime.com/assets/uploads/2019/12/australian-shepherd-lab-mixed-dog-breed-pictures-cover-650x368.jpg
Australian Shepherd Pit Bull Mix,https://dogtime.com/dog-breeds/australian-shepherd-pit-bull-mix,https://www.dogtime.com/assets/uploads/2020/01/australian-shepherd-pit-bull-mixed-dog-breed-pictures-cover-650x368.jpg
